country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,active_critical,total_tests,population
USA,1621196,294,96359,5.0,382244,1142593,17907,13479242,330790544
Russia,326448,8894,3249,150.0,99825,223374,2300,8126626,145927804
Brazil,310921,0,20082,0.0,125960,164879,8318,735224,212393298
Spain,280117,0,27940,0.0,196958,55219,1152,3037840,46752851
UK,250908,0,36042,0.0,1918,212948,1559,3090566,67847158
Italy,228006,0,32486,0.0,134560,60960,640,3243398,60471198
France,181826,0,28215,0.0,63858,89753,1745,1384633,65258007
Germany,179021,0,8309,0.0,159000,11712,1016,3595059,83755045
Turkey,153548,0,4249,0.0,114990,34309,820,1729988,84237509
Iran,129341,0,7249,0.0,100564,21528,2655,746045,83871454
India,119419,"1,193",3599,15.0,48957,66863,0,2719434,1378492893
Peru,108769,0,3148,0.0,43587,62034,886,736500,32919665
China,82971,4,4634,0.0,78255,82,8,0,1439323776
Canada,81324,0,6152,0.0,41715,33457,502,1379731,37705478
Saudi Arabia,65077,0,351,0.0,36040,28686,281,651158,34751777
Mexico,59567,"2,973",6510,420.0,40657,12400,378,201838,128781349
Chile,57581,0,589,0.0,23992,33000,943,426003,19098031
Belgium,56235,0,9186,0.0,14988,32061,277,739146,11584152
Pakistan,50694,"2,603",1067,50.0,15201,34426,111,445987,220392002
Netherlands,44700,0,5775,0.0,3459,35466,255,302395,17130802
Qatar,38651,0,17,0.0,7288,31346,171,175482,2875446
Ecuador,35306,0,2939,0.0,3557,28810,191,101580,17612428
Belarus,33371,0,185,0.0,12057,21129,92,403236,9449653
Sweden,32172,0,3871,0.0,4971,23330,352,209900,10092371
Switzerland,30694,0,1898,0.0,27900,896,55,361692,8647657
Singapore,30426,614,23,0.0,12117,18286,10,294414,5845265
Bangladesh,30205,"1,694",432,24.0,6190,23583,1,223841,164506480
Portugal,29912,0,1277,0.0,6452,22183,93,689705,10199821
UAE,26898,0,237,0.0,12755,13906,1,1600923,9876944
Ireland,24391,0,1583,0.0,21060,1748,54,295626,4931601
Poland,20379,236,973,1.0,8731,10675,160,697230,37850989
Indonesia,20162,0,1278,0.0,4838,14046,0,219975,273200237
Ukraine,20148,442,588,9.0,6585,12975,256,267185,43760843
South Africa,19137,0,369,0.0,8950,9818,119,525433,59224262
Kuwait,18609,0,129,0.0,5205,13275,181,261071,4263365
Colombia,18330,0,652,0.0,4431,13247,136,214536,50822230
Romania,17585,0,1159,3.0,10581,5845,203,342466,19250875
Israel,16690,7,279,0.0,13915,2496,47,531124,8640028
Japan,16424,0,777,0.0,12672,2975,195,261572,126516956
Austria,16404,0,633,0.0,14951,820,32,390488,9000787
Egypt,15003,0,696,0.0,4217,10090,41,135000,102109848
Dominican Republic,13657,0,448,0.0,7366,5843,113,61330,10835780
Philippines,13597,163,857,11.0,3092,9648,81,267417,109415846
Denmark,11182,0,561,0.0,9643,978,23,504266,5789998
S. Korea,11142,20,264,0.0,10162,716,15,802418,51264480
Serbia,10919,0,237,0.0,5370,5312,12,203799,8741034
Panama,10116,0,291,0.0,6245,3580,72,53928,4306982
Argentina,9931,0,416,0.0,3032,6483,171,116689,45149718
Afghanistan,9216,540,205,12.0,996,8015,19,27889,38824552
Czechia,8757,3,306,0.0,5932,2519,29,387127,10706852
Norway,8309,0,235,0.0,32,8042,14,223045,5416564
Bahrain,8174,0,12,0.0,3873,4289,9,262107,1694155
Algeria,7728,0,575,0.0,4062,3091,22,0,43759272
Kazakhstan,7597,363,35,0.0,3843,3719,31,612997,18751427
Morocco,7211,0,196,0.0,4280,2735,1,112997,36861343
Malaysia,7137,78,115,1.0,5859,1163,9,481411,32319132
Australia,7095,14,101,1.0,6478,516,9,1167973,25466640
Nigeria,7016,0,211,0.0,1907,4898,7,40043,205528166
Moldova,6704,0,233,0.0,2953,3518,251,40565,4034947
Finland,6493,0,306,0.0,4800,1387,22,160177,5539799
Ghana,6486,217,31,0.0,1951,4504,8,187929,30996750
Oman,6370,0,32,1.0,1821,4517,31,72000,5091036
Armenia,5928,322,74,4.0,2874,2980,10,47654,2962649
Bolivia,5187,268,215,16.0,561,4411,3,14803,11654953
Cameroon,4288,0,156,0.0,1808,2324,28,0,26466746
Luxembourg,3980,0,109,0.0,3741,130,6,64981,624808
Iraq,3877,0,140,0.0,2483,1254,0,149701,40115676
Azerbaijan,3749,0,44,0.0,2340,1365,42,252496,10129036
Hungary,3678,37,476,3.0,1587,1615,23,155801,9662923
Honduras,3204,104,156,5.0,397,2651,13,11820,9886537
Sudan,3138,0,121,0.0,309,2708,0,281,43727573
Guinea,3067,0,18,0.0,1575,1474,18,10304,13089690
Thailand,3037,0,56,0.0,2910,71,61,328073,69781150
Uzbekistan,3006,42,13,0.0,2407,586,4,460000,33413938
Greece,2853,0,168,0.0,1374,1311,21,144078,10428331
Senegal,2812,0,33,0.0,1251,1528,6,24599,16690729
Guatemala,2512,247,48,3.0,222,2242,5,25464,17877078
Bulgaria,2372,41,125,5.0,769,1478,31,71605,6953796
Bosnia and Herzegovina,2350,0,140,0.0,1596,614,4,56997,3282920
Tajikistan,2350,0,44,0.0,1008,1298,0,0,9512290
Ivory Coast,2301,0,29,0.0,1100,1172,0,21069,26300113
Croatia,2237,0,97,0.0,1978,162,9,58091,4107874
Djibouti,2047,0,10,0.0,1055,982,0,21156,986363
Cuba,1908,0,80,0.0,1603,225,5,89031,11327348
North Macedonia,1898,0,111,0.0,1378,409,21,23316,2083383
DRC,1835,0,61,0.0,303,1471,0,0,89226763
Estonia,1807,7,64,0.0,1508,235,2,74604,1326440
Iceland,1803,0,10,0.0,1790,3,0,58225,341000
El Salvador,1725,85,33,0.0,562,1130,26,67663,6482643
Lithuania,1604,11,61,0.0,1111,432,17,259043,2726052
Somalia,1594,0,61,0.0,204,1329,2,0,15839369
Gabon,1567,0,12,0.0,365,1190,6,8622,2219485
New Zealand,1504,1,21,0.0,1455,28,1,250246,4817906
Slovakia,1503,1,28,0.0,1256,219,2,154529,5459361
Mayotte,1475,0,19,0.0,894,562,11,5200,272030
Slovenia,1468,0,106,0.0,1340,22,3,74228,2078908
Kyrgyzstan,1350,37,14,0.0,939,397,5,98281,6511813
Maldives,1216,0,4,0.0,91,1121,9,11775,539443
Kenya,1109,0,50,0.0,375,684,1,52507,53631400
Guinea-Bissau,1109,0,6,0.0,42,1061,0,1500,1962465
Hong Kong,1064,0,4,0.0,1029,31,1,168291,7490261
Sri Lanka,1055,7,9,0.0,620,426,1,49124,21403517
Tunisia,1046,0,47,0.0,883,116,3,45308,11804800
